Name,F1_Thailand,F1_China,F1_Ghana,F1_Brazil,F1_Mexico,F1_Pakistan,F1_Egypt,F1_Cambodia,F1_India,F1_Bangladesh,F1_av_global,F1_ChiangMai,F1_SinakarinLake,F1_LopBuri,F1_KhonKaen,F1_Phichit,F1_NearPattaya,F1_BuriRam,F1_Ratchaprapha,F1_Phatthalung,F1_Tanintharyi,F1_av_TH
L8SR_S1A_sl_CC_ht,0.9804393748,0.9607184597,0.5814701104,0.9133741533,0.9530211207,0.9292515919,0.9998181525,0.9706941911,0.9809805902,0.9101907106,0.9179958455,0.9651919506,0.9848400416,0.8122533,0.9595102156,0.7877261922,0.929081459,0.9353272779,0.9462495976,0.9455657521,0.9321064991,0.9197852286
L8SR_S1A_sl_CCDICE_ht,0.9775806095,0.9573446717,0.7853586805,0.9061052681,0.9567564752,0.9049859013,0.9997678945,0.9732628954,0.9766118982,0.9146819568,0.9352456251,0.9630881142,0.9778721883,0.8357985994,0.9530772661,0.7954543422,0.9340918411,0.9259228338,0.9645120144,0.923753126,0.9416796047,0.921524993
