id,Name,loss,val_loss,precision,val_precision,test_1_precision,test_2_precision,test_3_precision,test_4_precision,test_5_precision,test_6_precision,test_7_precision,test_8_precision,test_9_precision,test_10_precision,precision_ev,recall,val_recall,test_1_recall,test_2_recall,test_3_recall,test_4_recall,test_5_recall,test_6_recall,test_7_recall,test_8_recall,test_9_recall,test_10_recall,recall_ev,F1,val_F1,test_1_F1,test_2_F1,test_3_F1,test_4_F1,test_5_F1,test_6_F1,test_7_F1,test_8_F1,test_9_F1,test_10_F1,F1_ev,F1_global_ev,accuracy,val_accuracy,test_1_accuracy,test_2_accuracy,test_3_accuracy,test_4_accuracy,test_5_accuracy,test_6_accuracy,test_7_accuracy,test_8_accuracy,test_9_accuracy,test_10_accuracy,accuracy_ev
19,L8SR_sl_as,0.0351,0.08276,0.9776394554,0.9825132262,0.9615480651,0.9493146033,0.4985421156,0.8937500398,0.9402714135,0.6668367184,0.9952123831,0.9875777362,0.9064376174,0.6450040767,0.9450306461,0.9608606673,0.8391733374,0.9590986949,0.967051322,0.4999882036,0.7727007199,0.8849218501,0.5733800418,0.9994057155,0.8738480806,0.5762039008,0.5983112262,0.9164695801,0.9690579684,0.8971027148,0.9603190496,0.9578641972,0.4992641125,0.8217110976,0.9106678796,0.6007205905,0.9972999517,0.9223530196,0.6223343265,0.6164525169,0.9301918817,0.9187338976,0.9891012404,0.9841822624,0.9846494463,0.9738241831,0.9970607758,0.9872644213,0.9940963321,0.9798126221,0.9998514387,0.9864048428,0.9709570143,0.9565147824,0.9826090707
20,L8SR_el_sl,0.06857,0.1023,0.9845898806,0.7550386661,0.9749274665,0.7218752329,0.4985421489,0.9089945794,0.5223854487,0.6773076347,0.9983441217,0.553297099,0.9614104979,0.45129939,0.6512662519,0.9445962987,0.8209223338,0.9295843171,0.848463823,0.4999996812,0.7754501663,0.7543171782,0.5657210727,0.9952404085,0.768558454,0.5642423502,0.4994316219,0.8591571044,0.9634986562,0.7835569786,0.9507694405,0.7305625532,0.4992698513,0.8285953027,0.4689369079,0.5943161751,0.996787277,0.4526067764,0.6059584261,0.03410157772,0.6903396373,0.4902117249,0.987450748,0.9559000015,0.9818094042,0.7773558299,0.9970836639,0.9878932105,0.7329205407,0.9804615445,0.9998245239,0.5741138458,0.9708830516,0.03525606791,0.861152882
21,L8SR_el_as,0.04279,0.1427,0.9776588719,0.7365647014,0.9670344429,0.5962641774,0.4996968565,0.8642320719,0.5246656744,0.6331303053,0.7987784545,0.5515889217,0.8973291015,0.4743028542,0.6081834379,0.9565319977,0.8197925713,0.9502511871,0.5172997818,0.4999904323,0.7583890689,0.79266284,0.5603298641,0.9948866192,0.7602382916,0.5733131931,0.4943250075,0.8317327768,0.9667898053,0.7707927583,0.9584399216,0.1951277427,0.4993175748,0.8018639919,0.4651192538,0.5819268918,0.8715600182,0.4471244945,0.6177625403,0.04046024762,0.6154941238,0.7958641503,0.9883562088,0.951333491,0.9841685825,0.2155356937,0.9969929589,0.9857069651,0.715458552,0.9786690606,0.9906421238,0.5662708282,0.9706764221,0.04118368361,0.7832209693
22,L8SR_S1_el,0.01609,0.1218,0.9770114581,0.8255306128,0.9826638539,0.4063035117,0.6393097116,0.8980459668,0.5042892295,0.9865734635,0.4938029162,0.5571236493,0.9834271561,0.518452558,0.5937525677,0.8229827279,0.8470271431,0.9267717591,0.5,0.6767064315,0.8165592329,0.5446987759,0.6086852108,0.4997450026,0.7861873103,0.5003833449,0.5275352915,0.6507889559,0.8816506075,0.8358864775,0.9524822191,0.448308438,0.6557646593,0.8524296038,0.4513010375,0.6746366532,0.4964191906,0.4674701283,0.4923400367,0.08784250987,0.6114035864,0.5882791578,0.9642785602,0.9694330533,0.9826265971,0.8126070235,0.9954594506,0.9888231489,0.7513783773,0.9859879812,0.9855473836,0.5965061188,0.9668551551,0.08814515008,0.8686698914
23,L8SR_S1_sl,0.01228,0.04427,0.9906371175,0.9931891164,0.978958899,0.8961351074,0.8575958701,0.9439877822,0.9847546418,0.9810965708,0.4948100883,0.9860079361,0.992312168,0.9840140862,0.9473160046,0.9817878787,0.9150339211,0.9674762089,0.6170598269,0.5709678467,0.8406980352,0.8896199101,0.6863726874,0.4946570626,0.8684767679,0.8439889223,0.8538261033,0.7714244838,0.9861609823,0.9503985369,0.9731256454,0.6484296161,0.617946992,0.8852359235,0.9318245032,0.7667561128,0.4947331502,0.9182437919,0.9041280229,0.9080803343,0.8345876323,0.9532729604,0.9950832155,0.9917628288,0.9897007412,0.8543807136,0.9973356459,0.9914423625,0.9956635369,0.9886313544,0.9719083574,0.9857538011,0.9895441267,0.9892531501,0.9656654994
24,L8SR_S1_sl_el_as,0.02496,0.09432,0.9911984651,0.9579694097,0.9848096224,0.4063035117,0.7147942583,0.8859101933,0.5164380039,0.7376858267,0.7802132704,0.6297312005,0.8878601635,0.5335706711,0.6820003685,0.9640836561,0.8471504902,0.934942962,0.5,0.5457242589,0.7781850205,0.6000031849,0.5880441861,0.9924853607,0.9150661689,0.5010456498,0.748709577,0.6862563169,0.9771509067,0.8941355641,0.9581145075,0.448308438,0.5749681908,0.822886718,0.5062186147,0.6268233189,0.8558724337,0.6640548009,0.4936837,0.4034736108,0.6840957084,0.7371568851,0.9920335346,0.9832078616,0.9845824771,0.8126070235,0.9970003764,0.9871385362,0.8713156382,0.9820302327,0.9890954759,0.8532445696,0.9668831295,0.530872133,0.9177471797
25,L8SR_S1A_el,0.01545,0.1316,0.9898496174,0.7863164586,0.9801334885,0.4063035117,0.6078301536,0.6170562252,0.5040301192,0.5469393931,0.5685473977,0.5551410526,0.9767581597,0.5179369513,0.5858012763,0.9859171341,0.8934432166,0.9647199654,0.5,0.7026340726,0.8493748407,0.5430381251,0.7837280346,0.9550587888,0.7776170764,0.5404683415,0.5140900178,0.6679458118,0.9878732237,0.8300345266,0.9722610806,0.448308438,0.6405031495,0.6669815823,0.4480146909,0.5568217355,0.5974014616,0.4569283343,0.5670528489,0.06215592594,0.6037613141,0.5891012108,0.9956698312,0.9635625203,0.9894129435,0.8126070235,0.9939793481,0.9433299171,0.7425963084,0.8859286838,0.912686242,0.5795887841,0.9694724613,0.06221177843,0.8467572106
26,L8SR_S1A_sl,0.01317,0.02404,0.9913172651,0.9916110381,0.9804777094,0.9122628806,0.7165714178,0.8214547056,0.9684402651,0.7980745939,0.5768682089,0.9817765328,0.9862760385,0.9143634792,0.8973242686,0.9839454644,0.93594734,0.9648381811,0.8689179501,0.6717178983,0.8797659893,0.9291235986,0.7813662225,0.9607847985,0.9548291871,0.9249749224,0.8888347734,0.908134201,0.9875957117,0.9619314746,0.9724875147,0.888453425,0.6915297127,0.8480373041,0.9478878808,0.7894675155,0.613097727,0.9678674605,0.9534162114,0.9011591726,0.9026423506,0.9561259335,0.9955862257,0.9935239474,0.9895017412,0.9355602264,0.9967842102,0.9860163795,0.9964794583,0.9856573741,0.9236083561,0.9938146803,0.9944000244,0.9870694478,0.9746027417
27,L8SR_S1A_sl_el_as,0.01942,0.06267,0.9840599097,0.8956459106,0.9696283779,0.4063035117,0.6168979052,0.8635556506,0.5091891223,0.6669599425,0.5931946146,0.5761907003,0.7077678358,0.5205835805,0.6208515338,0.9834776049,0.8953447521,0.9694348379,0.5,0.6464765926,0.8433645257,0.5765907776,0.7089819361,0.9689363196,0.8452898833,0.5082945588,0.5837388519,0.6842522881,0.9837685324,0.8954952669,0.9695315814,0.448308438,0.6299999397,0.853156193,0.4787040772,0.6854389505,0.6412472297,0.5428434083,0.5082045802,0.1854233419,0.6426180227,0.7055370153,0.9941843033,0.9811658859,0.9881843991,0.8126070235,0.9951527913,0.9879570007,0.8149166107,0.975171619,0.9394031101,0.7117852105,0.9666968452,0.199040095,0.8832933214
28,L8SR,0.007652,0.01087,0.9926404944,0.9881623212,0.9895612543,0.847648742,0.9771206565,0.925426403,0.9771214413,0.8349594076,0.9995982937,0.9731288771,0.9842872837,0.8103768472,0.9077857538,0.9934338976,0.9753867231,0.9905043797,0.9485570091,0.5024346281,0.9066294128,0.9541455554,0.9486659181,0.999635869,0.9772820802,0.9672426563,0.8892567676,0.9772065392,0.9930367869,0.9816804886,0.9900322177,0.8833468575,0.5041186426,0.9158050811,0.9653392159,0.8831479013,0.9996170806,0.9751952482,0.9756010262,0.8448883847,0.9392134351,0.9606902768,0.9975015852,0.9967403412,0.9961299896,0.917863422,0.9970978631,0.9930547078,0.9976147546,0.9904153612,0.9999790192,0.9950665368,0.9969251421,0.9763899909,0.9830142127
29,S1,0.02861,0.03086,0.9732296402,0.9859123665,0.9710371684,0.8279894063,0.6210332137,0.6236656293,0.8738414379,0.5909478926,0.4896096752,0.9680686843,0.9354669544,0.9494548591,0.7134132756,0.9850509082,0.9239903012,0.9719164347,0.6031215087,0.6926333326,0.8376798345,0.9244882691,0.7264690167,0.331878839,0.8118982,0.9151604777,0.8795175111,0.7496657765,0.9790461364,0.9526203212,0.9714762576,0.6274995426,0.6485320069,0.6742471607,0.8974847843,0.6258004169,0.3956016128,0.8726198864,0.9250524568,0.9113054566,0.7296873022,0.6127126978,0.9923937692,0.9920002619,0.9889259338,0.8438966539,0.994702869,0.948229048,0.9922809601,0.9539413452,0.6545378367,0.9789422353,0.9906096988,0.9889570872,0.924478658
30,S1A,0.02171,0.03494,0.9850588956,0.9923424889,0.9773472943,0.6297119292,0.661187198,0.7787199789,0.9689841001,0.61306726,0.5153727811,0.984749672,0.9076097241,0.937118316,0.691132233,0.9816782526,0.9103143431,0.9588605734,0.6095085677,0.6573436725,0.849263965,0.8591403219,0.7153759177,0.7778907377,0.9377015807,0.9387767886,0.8825533675,0.7819652839,0.983360992,0.9472140773,0.9678634928,0.6173423721,0.6592419675,0.8097614681,0.906512566,0.6465092682,0.3874408948,0.959880896,0.9225713599,0.9078739372,0.7247011821,0.4841815254,0.9940554725,0.9912723859,0.9877755907,0.7845795949,0.9960846371,0.9819160038,0.9941781362,0.9639161428,0.5627973345,0.9924399058,0.9896871779,0.9883395301,0.9119350221
31,L8SR_S1,0.02316,0.2207,0.9460128745,0.9867760418,0.9543104285,0.9098785966,0.4985421499,0.7754274994,0.9889785434,0.9893619919,0.4929747422,0.9735568863,0.9886782968,0.9847978537,0.9093780699,0.6277791442,0.7278256542,0.5904938675,0.5766314688,0.5,0.5688012038,0.5080570136,0.5079643462,0.4942208861,0.5082619645,0.668426687,0.5785834323,0.5756652532,0.682798992,0.8063424881,0.6294365196,0.5884524453,0.4992700107,0.6070560667,0.5114023162,0.511249593,0.4935970276,0.5030629383,0.746327105,0.628288557,0.614589558,0.9377380052,0.9251516766,0.9742436409,0.9108759562,0.8409461975,0.9970842997,0.979183197,0.9823373159,0.9824426439,0.974711948,0.9486278958,0.9779989454,0.9705251058,0.9399829865
32,L8SR_S1A,0.0252,0.03289,0.9825555519,0.9935209393,0.9834491596,0.7900495266,0.6954525048,0.7918095661,0.9767671972,0.7715671756,0.5223868363,0.9841612722,0.9406532387,0.934931567,0.7651916784,0.9827748663,0.919209803,0.959172947,0.7065678667,0.6779967413,0.8705925972,0.9147583714,0.8189366133,0.8494720864,0.945909513,0.961272188,0.9159926364,0.8262578678,0.9826651771,0.9530243049,0.9709005485,0.7355813847,0.6863124531,0.826206675,0.9435257723,0.7932466707,0.4545995366,0.964153024,0.9507082564,0.9252339102,0.7917226275,0.8954615037,0.9937838236,0.9921657244,0.9889952342,0.8610481686,0.9965150621,0.9833547804,0.9962764316,0.9842429691,0.7040604485,0.9931812286,0.9935287899,0.9901279873,0.9401619381
