id,Name,Loss,val_loss,precision,val_precision,test_1_precision,test_2_precision,test_3_precision,test_4_precision,test_5_precision,test_6_precision,test_7_precision,test_8_precision,test_9_precision,test_10_precision,precision_ev,recall,val_recall,test_1_recall,test_2_recall,test_3_recall,test_4_recall,test_5_recall,test_6_recall,test_7_recall,test_8_recall,test_9_recall,test_10_recall,recall_ev,F1,val_F1,test_1_F1,test_2_F1,test_3_F1,test_4_F1,test_5_F1,test_6_F1,test_7_F1,test_8_F1,test_9_F1,test_10_F1,F1_ev,accuracy,val_accuracy,test_1_accuracy,test_2_accuracy,test_3_accuracy,test_4_accuracy,test_5_accuracy,test_6_accuracy,test_7_accuracy,test_8_accuracy,test_9_accuracy,test_10_accuracy,accuracy_ev
24,L8SR+(S1_sl),0.006671940442,0.008928213269,0.9958921508,0.9934719427,0.9937816455,0.8538256657,0.7818622564,0.9118196092,0.9888647828,0.9269457408,0.998730654,0.988561954,0.9921479375,0.9312613608,0.9518504972,0.9925558782,0.9738855687,0.9871112217,0.6981575653,0.815902372,0.8962861209,0.9558346057,0.9055432737,0.92562629,0.969010523,0.9771156127,0.9261804735,0.8476307605,0.9942168099,0.9834588355,0.9898712029,0.7404893097,0.7979050193,0.9038960382,0.9717505525,0.9159582884,0.9592074499,0.9785620836,0.9845066473,0.9287046,0.8918302654,0.9979336209,0.9970768929,0.9961020152,0.8744455973,0.997507943,0.9920461443,0.9980752733,0.9942571852,0.9979286194,0.9958396488,0.9980428484,0.990433587,0.9753410339
25,L8SR+(S1_sl_as),0.0170861762,0.0149404807,0.9778476482,0.9840803252,0.9697985938,0.8836168855,0.8218587454,0.8891905755,0.9308648159,0.8692384875,0.9697676136,0.9572471625,0.9824771549,0.6728630762,0.913319451,0.9901128646,0.9644152887,0.9862007073,0.9636232714,0.6856296645,0.8988970144,0.9432827206,0.909889176,0.9993486206,0.9688194157,0.961839176,0.8711724055,0.9755525811,0.9838800322,0.9740214965,0.9776912732,0.9156084308,0.7353371176,0.8939808546,0.9369819237,0.8884550832,0.9840929261,0.9629515558,0.9719159837,0.7293251629,0.9418157441,0.9941464742,0.9954113324,0.991197798,0.9429736667,0.9975732168,0.9909453922,0.9954922994,0.991751141,0.999101003,0.9925706651,0.996474372,0.9419932895,0.9838907878
26,L8SR+(S1_el_sl),0.007736123633,0.01139173377,0.9955113796,0.993800033,0.9924892623,0.4063035117,0.7485427819,0.928733219,0.799771215,0.9367359982,0.9999791435,0.8673849055,0.9963201395,0.5858678442,0.8807579604,0.9920122857,0.9666045156,0.9874107917,0.5,0.5002174173,0.9154110305,0.6749686342,0.9118415822,0.9996030989,0.9881652234,0.9297556474,0.9076251449,0.7524835061,0.9937538998,0.9797754739,0.9894342374,0.448308438,0.4997057396,0.9219618011,0.7202295547,0.9239091062,0.9997910484,0.9178785442,0.9604769756,0.5995911218,0.8013884732,0.9977685928,0.9964539528,0.995926963,0.8126070235,0.9970842997,0.9935194651,0.9843629201,0.9948187934,0.9999885559,0.981036716,0.9952691396,0.8337510427,0.9573765013
27,L8SR+(S1_el_as),0.0131159313,0.02599786595,0.9963308353,0.9956568036,0.9949152694,0.8870039687,0.9377814945,0.9818133771,0.9380068467,0.9352130849,0.996835419,0.8859088036,0.9945144631,0.5841813252,0.8939978905,0.9849094151,0.9519463435,0.9812396475,0.5263179078,0.5081374236,0.8564214786,0.9362197351,0.8791758225,0.9997797333,0.986685688,0.903514813,0.8827053901,0.7611755569,0.9905352371,0.9726857083,0.987236992,0.5010620001,0.5152653883,0.9093358658,0.9371113901,0.9051913274,0.9983031003,0.9295834369,0.9440845069,0.5998798714,0.8118507145,0.9966457367,0.9952920914,0.995124605,0.8220945994,0.9971252018,0.9933444129,0.9955745273,0.9937822554,0.9999067518,0.9842200809,0.9934849209,0.8407168918,0.9596270243
28,L8SR+(S1_sl_el_as),0.01730937697,0.02900461294,0.9834344192,0.9906541287,0.9811023508,0.5101499452,0.8455830054,0.8935029495,0.8060299641,0.9211227036,0.9994748725,0.850193091,0.9921324879,0.5563990341,0.8432312932,0.9875623791,0.931339875,0.978674361,0.5000018363,0.5924084258,0.8969684445,0.6587154481,0.8427593958,0.9995349782,0.9798469667,0.8046626437,0.8395566082,0.7387155913,0.9854871195,0.9588867385,0.9788388523,0.4483337399,0.6454235279,0.8952277023,0.708018727,0.8777648084,0.9995049235,0.9032035686,0.8749402311,0.5278747382,0.7798321662,0.9947747125,0.9930342038,0.991830402,0.812590917,0.9973854489,0.9911231995,0.9843444824,0.992228402,0.9999728733,0.9772413042,0.9869920943,0.7471266852,0.9518563588
29,L8SR+(S1A_as),0.0156044215,0.01380860247,0.9802882717,0.986034064,0.9761635055,0.8817846622,0.7479707968,0.8991644573,0.9518561553,0.829897456,0.9975512684,0.956948424,0.977088681,0.6488307307,0.9115470036,0.9900315986,0.9672877391,0.9882058692,0.9627346255,0.7753138571,0.9101241187,0.9572648989,0.9481198736,0.9997365416,0.9655641726,0.9791724019,0.8663339902,0.9777867156,0.9850969185,0.9764563103,0.9817515363,0.9140024333,0.7609214998,0.9045662002,0.9545437928,0.879569062,0.9986414412,0.9612108287,0.9781280999,0.7020908344,0.9416968475,0.9946027756,0.9958370527,0.9928372701,0.9417875078,0.9970664978,0.9918393029,0.9967755212,0.9900415209,0.9999254015,0.9922464159,0.9971881443,0.9294586182,0.9837788688
30,L8SR+(S1A_el),0.008421249688,0.01049528643,0.9913066098,0.9871842534,0.9846438474,0.907560184,0.9985443686,0.8971150225,0.851324112,0.8981423646,0.9976930525,0.8039784134,0.9886668012,0.5482301325,0.8680779156,0.9936079428,0.9766388161,0.9911375676,0.9569528745,0.5007631923,0.9186261176,0.969112146,0.9181606381,0.9996394118,0.9805022214,0.974469016,0.8294652218,0.9682831908,0.9924538279,0.9818474667,0.9873912273,0.9294575129,0.5007951817,0.9075719802,0.9013461242,0.9078954796,0.9986642777,0.8686002359,0.9814555466,0.4866356423,0.9108262281,0.9972882589,0.9967626572,0.9950813717,0.9543603261,0.9970887502,0.9919921027,0.9918736352,0.993382136,0.999926673,0.966278712,0.9976556566,0.6743231879,0.9738875919
31,L8SR+(S1A_sl),0.007198366802,0.009557213634,0.9956442745,0.9942874166,0.9938441768,0.8245554416,0.7342413601,0.9424147896,0.9872601975,0.8660261579,0.9921435954,0.9879231137,0.9888373489,0.8542345943,0.8994238757,0.9934477763,0.973164572,0.9895196629,0.9216563349,0.8208944402,0.8904134918,0.9644184201,0.9580114061,0.9998113148,0.9732346758,0.9834726128,0.9577728042,0.9692449951,0.9945429036,0.9834702916,0.9913406119,0.8580979182,0.7707393127,0.9147137857,0.9755547992,0.9066428197,0.9959469502,0.9804527899,0.9861390833,0.8987340341,0.9309439759,0.9980478923,0.9970834414,0.9966581133,0.8996304406,0.996840583,0.9932280646,0.9983166589,0.992632548,0.9997762044,0.996187422,0.9982316759,0.9843224419,0.9806622399
32,L8SR+(S1A_sl_as),0.007194171194,0.04044413939,0.9856291864,0.983394863,0.9838667012,0.8169201888,0.9530907731,0.9315070391,0.9700220809,0.8646693054,0.9703683865,0.9638792447,0.9849085991,0.7570756231,0.8991700057,0.9485681555,0.9521215714,0.953518327,0.8579669944,0.5010899559,0.8663377942,0.9755992646,0.957674188,0.8278010084,0.91287765,0.9787964511,0.9021878816,0.9157992886,0.9661634345,0.9671783992,0.9728205161,0.8347662612,0.5014467725,0.8961344282,0.97279358,0.9056639307,0.8860076149,0.9367126088,0.9818316999,0.811602702,0.9072813362,0.9883296119,0.9942736308,0.9896905687,0.8926537832,0.9970900218,0.9918990665,0.998070187,0.9925429026,0.9946988424,0.9881543054,0.9976840549,0.9673114353,0.9756399367
33,L8SR+(S1A_el_sl),0.01060666796,0.01592895761,0.9876577539,0.985180822,0.9803768912,0.7911699361,0.8257336042,0.8794604163,0.6707585692,0.9193518895,0.9999084882,0.7057928921,0.993440032,0.5411934019,0.7761143305,0.9925078429,0.9539704526,0.9843832132,0.5053409059,0.7094431329,0.9134427033,0.8444601434,0.9278247722,0.9994648174,0.9589800436,0.8457009575,0.7976695926,0.7451706833,0.9900673853,0.9690004851,0.9812037485,0.4599554533,0.7548678384,0.8956836008,0.7258719565,0.9235442012,0.9996865514,0.7709184063,0.9057056474,0.4509988997,0.7595093744,0.9964213053,0.994590505,0.9926967621,0.8141089545,0.9976579878,0.9908061557,0.9707400004,0.9945871565,0.9999828339,0.9254718357,0.9897049798,0.6131922404,0.9415588167
34,L8SR+(S1A_el_as),0.0120322844,0.01259972807,0.9661255094,0.9813170989,0.9755164279,0.9063035978,0.7770797571,0.8189169894,0.9486955164,0.8429139941,0.9967979027,0.8904876236,0.9881549546,0.5672681055,0.8605279819,0.9914402359,0.9750997213,0.9923349428,0.5000005655,0.7908932146,0.9233640107,0.9009837797,0.9559248721,0.9997868246,0.9834345833,0.9267446427,0.8551535045,0.7578373706,0.9783486089,0.9781859463,0.983731122,0.4483096214,0.7838171118,0.8633268915,0.9234480004,0.8910293453,0.998287751,0.9312685041,0.955241777,0.5616790505,0.799094639,0.9920260959,0.9960925102,0.9935777452,0.8126072354,0.9974233839,0.9865760803,0.9948887295,0.9910998874,0.9999059041,0.9847575294,0.9946187337,0.7972299788,0.9555719588
35,L8SR+(S1A_sl_el_as),0.01358725689,0.02485837787,0.9943874994,0.9935855322,0.9894440762,0.4063035117,0.4985421468,0.9823325692,0.8612753688,0.9705477851,0.9998563693,0.8305074493,0.9923388157,0.5545314756,0.8392635957,0.9790652976,0.9357983992,0.9657999805,0.5,0.4999989373,0.8394018548,0.9016345112,0.7754202863,0.9995556082,0.9791753647,0.8401789145,0.8434979655,0.7364654321,0.9865724789,0.9627051922,0.9772382462,0.448308438,0.4992694793,0.8979108804,0.8803378626,0.8466117463,0.9997059422,0.8887917714,0.901437751,0.5167762914,0.7769559103,0.995260493,0.9936684291,0.9913836585,0.8126070235,0.9970821804,0.9926600986,0.9910903507,0.9914697011,0.9999838935,0.9729525248,0.9892993503,0.726339976,0.9511853748
36,L8SR+S1,0.006740289275,0.007903674617,0.9919198658,0.987577417,0.9877025849,0.7987068965,0.6800911098,0.9518684232,0.9773919948,0.8521198477,0.9725518753,0.9793571918,0.9807655214,0.8551850504,0.9120814701,0.9951993059,0.9819120485,0.9900566157,0.7659719415,0.8596998636,0.909178753,0.9751287476,0.9437175877,0.9464508777,0.9787966545,0.9863426882,0.9610173404,0.8917215194,0.9935525982,0.9847263436,0.9888758549,0.7804993727,0.7396510756,0.9294154239,0.9762575781,0.8923932244,0.9591198391,0.9790767385,0.9835368121,0.9005449976,0.9015951783,0.9976808124,0.9972622871,0.9956747691,0.8734821743,0.9954605103,0.9943269094,0.9983297984,0.9914745755,0.9978220198,0.9958591461,0.9978758494,0.9845642514,0.9752987968
37,L8SR+S1A,0.0105389338,0.0185880661,0.9941263399,0.9944732872,0.9897568364,0.7943410758,0.7536809549,0.9243234956,0.9848985911,0.9310984511,0.9565083794,0.9844013096,0.9882963392,0.9172730743,0.919850218,0.985940358,0.9452919515,0.9656418826,0.7423432906,0.7241079396,0.8724915579,0.9125552085,0.8895926413,0.9988339366,0.9575763954,0.9604971242,0.9447497892,0.8634127897,0.9899896365,0.9684586017,0.977300286,0.7635773127,0.737971402,0.896640137,0.9457038679,0.9092544226,0.9767044126,0.9705599825,0.9739597198,0.9305352348,0.8892335735,0.9964408451,0.9945954005,0.9914112091,0.8683270348,0.9971304999,0.9918130239,0.9964565701,0.9939456516,0.9986644321,0.9943313599,0.9967545403,0.9903149075,0.9733981874
