id,Name,Loss,val_loss,precision_ev,recall_ev,F1_ev,accuracy_ev,precision_th,recall_th,F1_th,accuracy_th
1,L8SR_S1A_sl_CC_dp0.2,0.01099162735,0.03064581007,0.9571624862,0.9811753051,0.9688047113,0.9917602327,0.9893858518,0.9830197894,0.9861753573,0.9946725633
2,L8SR_S1A_sl_FL_dp0.2,0.6522312164,0.2742627561,0.4654413435,0.5,0.482102146,0.930882687,0.4455955293,0.5,0.4712326947,0.8911910587
3,L8SR_S1A_sl_CCDICE_dp0.2,0.01619572937,0.04270612821,0.9738377348,0.9702210443,0.9720212322,0.9928268433,0.9947228182,0.9736834749,0.9839035477,0.993888855
4,L8SR_S1A_sl_CC_dp0.3,0.01088554692,0.03177917749,0.969031573,0.9654660978,0.9672408199,0.9916011175,0.9935476631,0.9650026877,0.9787190241,0.9919832018
5,L8SR_S1A_sl_FL_dp0.3,0.5705340505,0.2742627561,0.4654413435,0.5,0.482102146,0.930882687,0.4455955293,0.5,0.4712326947,0.8911910587
6,L8SR_S1A_sl_CCDICE_dp0.3,0.01736690849,0.04137108475,0.9735561381,0.9696870595,0.971612255,0.9927239524,0.9934617083,0.9692080296,0.9809346002,0.9927859836
7,L8SR_S1A_sl_CC_dp0.4,0.01173974294,0.03076733276,0.9747025183,0.9661877888,0.9703998236,0.9924503538,0.9935872401,0.9712357141,0.9820721201,0.9932030572
8,L8SR_S1A_sl_FL_dp0.4,0.5910553336,0.2742627561,0.4654413435,0.5,0.482102146,0.930882687,0.4455955293,0.5,0.4712326947,0.8911910587
9,L8SR_S1A_sl_CCDICE_dp0.4,0.01641943306,0.03883294389,0.9740297662,0.9701930642,0.9721022373,0.9928492652,0.9934836813,0.9724046817,0.9826425847,0.9934107463
