id,Name,Loss,val_loss,test_1_precision,test_2_precision,test_3_precision,test_4_precision,test_5_precision,test_6_precision,test_7_precision,test_8_precision,test_9_precision,test_10_precision,precision_ev,test_1_recall,test_2_recall,test_3_recall,test_4_recall,test_5_recall,test_6_recall,test_7_recall,test_8_recall,test_9_recall,test_10_recall,recall_ev,test_1_F1,test_2_F1,test_3_F1,test_4_F1,test_5_F1,test_6_F1,test_7_F1,test_8_F1,test_9_F1,test_10_F1,F1_ev,test_1_accuracy,test_2_accuracy,test_3_accuracy,test_4_accuracy,test_5_accuracy,test_6_accuracy,test_7_accuracy,test_8_accuracy,test_9_accuracy,test_10_accuracy,accuracy_ev
20,L8SR_el_sl,0.5163593888,0.09091332555,0.4455946877,0.4887204416,0.4985421499,0.4892235862,0.9335565955,0.8410804771,0.493054802,0.9665631514,0.4834148127,0.6603477418,0.9162712503,0.4999913202,0.4999957147,0.5,0.5,0.5549952031,0.5000412529,0.4999991403,0.5330841689,0.4999984656,0.5039836252,0.5039963248,0.4712283691,0.4483469656,0.4992700107,0.494553095,0.5939197073,0.495583086,0.4965026906,0.5494905639,0.4915668111,0.4993651467,0.4902117249,0.891175588,0.8125682407,0.9970842997,0.9784471724,0.9837665558,0.9821603563,0.9861079322,0.9511625502,0.9668267568,0.96479098,0.9313785553
21,L8SR_el_as,0.1297560334,0.1208228767,0.971794268,0.8632779697,0.4985417462,0.918498673,0.9158075627,0.5965951608,0.8362348656,0.9794028945,0.8861174502,0.6201843762,0.9259747456,0.803382078,0.6949476674,0.4998612066,0.6674185855,0.6770428479,0.515790804,0.9658153425,0.8444965651,0.5469557314,0.5542493043,0.7317349513,0.8645106066,0.7386924157,0.4992006045,0.737037836,0.7467422258,0.5242635781,0.8901513566,0.8996679921,0.5768663531,0.5725336476,0.7958641503,0.9565874736,0.8752212524,0.9968075222,0.9844275581,0.987241745,0.9804960887,0.9928184085,0.9829040103,0.9691975911,0.9579671224,0.9592219671
22,L8SR_S1_el,0.07212287188,0.07221502811,0.9238729277,0.5048952083,0.4985421499,0.8698275307,0.8867002026,0.9714832744,0.493041351,0.9798757587,0.4834148619,0.9526862481,0.9111369372,0.5001704468,0.5000009674,0.5,0.8465528963,0.6417917582,0.7372105995,0.4990190303,0.9269401481,0.5,0.8893711533,0.5586232442,0.4715841879,0.4483342131,0.4992700107,0.8577919875,0.7055815393,0.8143880017,0.4960121813,0.9516762744,0.4915675781,0.9184619722,0.5882791578,0.8912266625,0.8125887977,0.9970842997,0.9883814918,0.9857749939,0.990207884,0.9841749403,0.9909568363,0.9668297238,0.9897619883,0.9379901462
23,L8SR_S1_sl,0.03748574853,0.04379660264,0.9815441025,0.9427255063,0.7529510448,0.8176005097,0.9691689195,0.9419078269,0.9500556375,0.9724097986,0.9921316246,0.8653499854,0.952403924,0.9523480891,0.9734928713,0.5735666428,0.8802199851,0.9090718112,0.8063592754,0.9985330793,0.9569957258,0.8884489417,0.8503702146,0.9541459558,0.9663473616,0.9571322324,0.6136330121,0.8459267104,0.9369866675,0.8614104323,0.9730167123,0.9645588963,0.9337666978,0.8576890294,0.9532729604,0.9873407152,0.9729686313,0.9970984989,0.9857192569,0.9958409203,0.9917719099,0.9984419081,0.9930962457,0.9923951891,0.9811850654,0.9879511515
24,L8SR_S1_sl_el_as,0.1098371297,0.08235242963,0.9837604592,0.4248152085,0.4985421295,0.9398939724,0.9120396678,0.6835263041,0.8030945611,0.9860863129,0.9808419084,0.6647981678,0.9365459827,0.8880710746,0.4996031189,0.4999929859,0.7120327537,0.5560426096,0.5364421072,0.9860189065,0.8519559328,0.5524069671,0.5968981308,0.6701962955,0.9291596088,0.4482387475,0.4992665037,0.7845446048,0.5950741888,0.5580739027,0.8724546761,0.9070911295,0.5872488001,0.6207850535,0.7371568851,0.9752000173,0.8118623098,0.9970703125,0.9865052965,0.983683904,0.9813467662,0.9908936818,0.9841194153,0.9702775743,0.9592778948,0.9524964227
25,L8SR_S1A_el,0.06655146927,0.08455766737,0.4455954948,0.4063035117,0.4985421452,0.8087622501,0.9228269989,0.6778825161,0.4929958007,0.9788298513,0.4834148619,0.8157499077,0.8066294236,0.4999996433,0.5,0.4999984059,0.8267134648,0.6357269412,0.77134297,0.4957279625,0.9529528888,0.5,0.9379611847,0.5605935716,0.4712325169,0.448308438,0.4992692137,0.8174688084,0.7032220701,0.7141402209,0.4943581066,0.9654876216,0.4915675781,0.8658543698,0.5891012108,0.8911904229,0.8126070235,0.9970811208,0.9841550191,0.9861331516,0.9746744368,0.9776842329,0.993350135,0.9668297238,0.9783624013,0.9353773117
26,L8SR_S1A_sl,0.02861825004,0.03987238184,0.9884030843,0.9504442545,0.9210899877,0.9110923339,0.9824303503,0.9635182801,0.9999615014,0.9885360208,0.9944122867,0.9527665031,0.9673161927,0.9397269785,0.9719602392,0.5417350992,0.8515216583,0.8857688071,0.7663913191,0.9994350553,0.9370854636,0.8998103508,0.8380658423,0.9455461421,0.9624022744,0.9607346639,0.5753217988,0.87886655,0.9285236971,0.837443752,0.9996981357,0.9612093555,0.9417614192,0.886475163,0.9561259335,0.986137814,0.9755064646,0.9972830878,0.9905211131,0.9954639011,0.9910197788,0.9999834696,0.9927217695,0.9932414161,0.9866085052,0.988971032
27,L8SR_S1A_sl_el_as,0.3641382456,0.1243258044,0.9723145635,0.807792151,0.4985421499,0.8959653894,0.9371452858,0.8341979932,0.7640617775,0.9867740807,0.9724750167,0.8179307772,0.9274843833,0.7614000312,0.5014523881,0.5,0.788255776,0.6101569415,0.6499270332,0.7739032487,0.9281171875,0.5009959296,0.910582068,0.6432879212,0.8291284219,0.4514757286,0.4992700107,0.8332269979,0.6731959678,0.7056263141,0.7688886912,0.9553408074,0.49357306,0.8577302403,0.7055370153,0.9480605655,0.8130421109,0.9970842997,0.9878395928,0.9855149587,0.9850268894,0.9871014489,0.9916873508,0.9668943617,0.9779828389,0.9487553491
28,L8SR,0.01821024343,0.04051327705,0.9900102381,0.9443334622,0.9882997695,0.9754229725,0.9900006051,0.9394397978,0.9999344266,0.98728029,0.9930722888,0.9763980114,0.9698968908,0.9802233174,0.9428251767,0.5275822508,0.7873650329,0.9284049475,0.8879764023,0.99967874,0.9631293032,0.9584329713,0.8385107733,0.9518969948,0.9850517958,0.9435769794,0.5515353454,0.8572665117,0.9570610734,0.9120453317,0.9998065496,0.9748602795,0.9750764757,0.8949526361,0.9606902768,0.9942597283,0.9656906128,0.9972417619,0.9903305901,0.9971622891,0.9941959381,0.9999894036,0.99514495,0.9969149696,0.9878618452,0.9900766797
29,S1,0.1138567105,0.1121732742,0.9544349921,0.9114860466,0.8075050847,0.8492033791,0.9803525044,0.9429916317,0.4912919063,0.9638043628,0.9839267299,0.9877737375,0.670692308,0.6278961333,0.5908922054,0.5541973794,0.6701440612,0.5643914807,0.5628518187,0.3973518224,0.5155304901,0.6048974917,0.7161554504,0.5883915441,0.6817353078,0.6106785234,0.5916533629,0.727359104,0.6098568051,0.6065143614,0.439356579,0.5171288113,0.6665712026,0.7963613628,0.6127126978,0.9188302358,0.8461810218,0.9972048865,0.982864168,0.9843061235,0.984161377,0.7836649153,0.9493543837,0.9737497965,0.9800870683,0.923892657
30,S1A,0.1409251988,0.04636089504,0.9448471335,0.8631172711,0.6096534701,0.768144688,0.9795213121,0.9042896806,0.4934238462,0.9541101731,0.9615184878,0.9564751943,0.6880351791,0.5016113685,0.50051384,0.5000719411,0.50261335,0.5024959104,0.5015206286,0.4991980478,0.5005889915,0.501042971,0.5023045911,0.5009534955,0.4745330023,0.4494008844,0.4994150197,0.499827889,0.5004621337,0.4985521086,0.4961609428,0.4877852549,0.4936687518,0.4957369261,0.4841815254,0.8915411631,0.8127852546,0.9970832401,0.9784709083,0.9821368323,0.9822025299,0.9844390021,0.9478251139,0.9668958452,0.965186225,0.9308468077
31,L8SR_S1,0.05682769418,0.1861608475,0.9635635142,0.9197129448,0.7021225172,0.7956399252,0.8727625009,0.943206007,0.9837894418,0.9421272978,0.978121449,0.771479042,0.9341917482,0.9788796842,0.9102573445,0.6969659247,0.8945322611,0.9390117727,0.8232639044,0.9921634896,0.9595715869,0.9540466926,0.9011259039,0.941353843,0.9710554055,0.9148863299,0.6995105679,0.8375316001,0.9030587668,0.8735052944,0.9879394758,0.950658197,0.9657501693,0.8222735193,0.9377380052,0.9885870616,0.9487380981,0.9965502421,0.9839941661,0.9925558302,0.9923307631,0.9993334876,0.9900362227,0.9957169427,0.9702279833,0.9838439729
32,L8SR_S1A,0.03710214794,0.03780057281,0.9883161702,0.8793902731,0.8684830508,0.8830330809,0.9840715066,0.9639494517,0.9998638911,0.9859450401,0.9870253133,0.9447433509,0.9527857662,0.9414101117,0.7642122954,0.5370311892,0.8537689028,0.8845370303,0.7845802852,0.999548087,0.9383944582,0.9460114952,0.8822004186,0.8526436218,0.9633209669,0.8045457343,0.5666895356,0.8677896194,0.9283955693,0.8520408224,0.9997059377,0.9607991837,0.9655516321,0.9109198578,0.8954615037,0.986451255,0.8981465234,0.9972243839,0.9892732832,0.9954689874,0.9916271634,0.9999838935,0.9926160177,0.9957667457,0.9888195462,0.9760436376
