id,Name,test_1_precision,test_2_precision,test_3_precision,test_4_precision,test_5_precision,test_6_precision,test_7_precision,test_8_precision,test_9_precision,test_10_precision,precision_ev,test_1_recall,test_2_recall,test_3_recall,test_4_recall,test_5_recall,test_6_recall,test_7_recall,test_8_recall,test_9_recall,test_10_recall,recall_ev,test_1_F1,test_2_F1,test_3_F1,test_4_F1,test_5_F1,test_6_F1,test_7_F1,test_8_F1,test_9_F1,test_10_F1,F1_ev,test_1_accuracy,test_2_accuracy,test_3_accuracy,test_4_accuracy,test_5_accuracy,test_6_accuracy,test_7_accuracy,test_8_accuracy,test_9_accuracy,test_10_accuracy,accuracy_ev
1,L8SR+S1+as,0.9924846996,0.9475406591,0.8654798888,0.9573825573,0.9906501722,0.9683436347,0.9997786326,0.9927977975,0.9961954519,0.9662094099,0.9691911751,0.9496199984,0.9666784998,0.688452698,0.8307930315,0.8778486566,0.8265039559,0.9957486245,0.936707334,0.934583086,0.8247195378,0.9493758053,0.9697811185,0.9567366498,0.7485089718,0.8834754037,0.9266638967,0.8843230225,0.9977552357,0.9628588924,0.9632057574,0.8818964726,0.9590321869,0.9887854258,0.9730796814,0.997783237,0.9915267097,0.9954219394,0.9931165907,0.9998775058,0.9930623372,0.995572408,0.9864639706,0.9896787432
2,L8SR+S1+el3,0.9747287865,0.9444682144,0.8622897445,0.9271869391,0.951912072,0.93900928,0.9999345877,0.9865110505,0.9799573386,0.9493802433,0.9592707625,0.9828992738,0.9781413701,0.7071054264,0.8679922566,0.9372529538,0.9112756651,0.9991524755,0.9578338138,0.9679382915,0.9149803784,0.9749397671,0.9787677282,0.9601401966,0.7634196894,0.8952806407,0.9444568912,0.924672273,0.9995432166,0.9716837105,0.9738659383,0.9314407682,0.9669497494,0.9916934967,0.9747869704,0.9978377024,0.991777632,0.9961469438,0.9948870341,0.9999749925,0.9945576986,0.9966894786,0.9910998874,0.99134886
3,L8SR+S1+sl3,0.991830779,0.9533202916,0.938869401,0.9337543318,0.9911612386,0.9628966294,0.9999636598,0.9926023958,0.995765646,0.9750309246,0.971094108,0.9692610806,0.9800741803,0.6444036977,0.8612080143,0.916807202,0.8818040994,0.9995876269,0.9485741098,0.9534494567,0.8754807426,0.9669254804,0.9801984514,0.9659799914,0.7169502058,0.8940150389,0.9508286326,0.9183133085,0.9997755706,0.9694346861,0.9735965977,0.9189971599,0.9689988832,0.992495007,0.9786593119,0.9978116353,0.9918060303,0.9967948066,0.9947753482,0.9999877082,0.9942171309,0.9967572954,0.9902076721,0.9920568254
4,L8SR+S1+(sl_el_as3),0.9711539947,0.9065624825,0.7911724596,0.892486694,0.9606389453,0.8818050059,0.9998263967,0.9769393683,0.9788795622,0.8367676618,0.9341136433,0.9851521185,0.9704263822,0.7123783636,0.9130241964,0.9585192006,0.9507253999,0.9995933212,0.9757689986,0.9714532964,0.9555401058,0.9805265251,0.9780165961,0.9337867299,0.745564325,0.9024797321,0.9595765322,0.9132829787,0.999709831,0.9763533738,0.9751352423,0.8863114673,0.9559135713,0.9913461473,0.9563903809,0.9974413978,0.9915584988,0.9971561432,0.9933725993,0.9999841054,0.9953231812,0.9968350728,0.9819297791,0.9880445056
5,L8SR+S1A+as,0.9857941081,0.9433663407,0.9200840148,0.9094322211,0.978100875,0.9183647452,0.9999711861,0.9860381325,0.9790500177,0.9534112175,0.9616773227,0.9709244885,0.9792232082,0.6575673282,0.869066949,0.926945208,0.9225017827,0.9995801057,0.954679605,0.9715708045,0.906380935,0.9713328757,0.9782072368,0.9599700134,0.7288713121,0.8881510678,0.9510229911,0.9204226648,0.9997755672,0.9697723387,0.9752787878,0.928507879,0.9664460433,0.9916761186,0.9746148851,0.9978313446,0.9910297394,0.9967310164,0.9943949382,0.9999877082,0.9942069583,0.9968535105,0.9908498128,0.9912741555
6,L8SR+S1A+el,0.9829336895,0.946233991,0.9269380552,0.932469299,0.9797107912,0.9217534542,0.9996894374,0.9855918052,0.982793876,0.9511628686,0.9627164475,0.9629378753,0.9791705043,0.6555419259,0.873019752,0.8998634925,0.9109707035,0.9996142728,0.9563367962,0.9606451202,0.9183627358,0.9676771544,0.972657861,0.9615935707,0.7276981002,0.9004461318,0.9360296119,0.916289412,0.9996518522,0.970454357,0.9714403282,0.934094478,0.9651811817,0.9896134271,0.9757298364,0.997838974,0.992178599,0.9958640205,0.9942078061,0.9999809265,0.994325214,0.9964203305,0.9914273156,0.9909909566
7,L8SR+S1A+sl,0.9933948752,0.9473789114,0.9713477071,0.9454984627,0.9919535293,0.955267367,0.9999646311,0.9925999757,0.9941482675,0.9777017356,0.9693060771,0.9746188134,0.9810634299,0.6393133076,0.8748292434,0.9249437921,0.9072984882,0.9996562841,0.9509538765,0.9685351095,0.8905176832,0.9717873887,0.9837679161,0.9630652315,0.7146611431,0.9069781692,0.9559102448,0.9298979766,0.9998104087,0.9707471973,0.9809761661,0.9294047528,0.9705428751,0.9938233693,0.9766426086,0.9978493585,0.9927745395,0.9971025255,0.9953452216,0.9999896155,0.9944515228,0.9976228078,0.9913378821,0.9923988554
8,L8SR+S1A+(sl_el_as),0.9935792785,0.9487818471,0.9201203882,0.972133087,0.9922406683,0.9485270006,0.9999711861,0.9924806903,0.993224475,0.9710150109,0.9705841599,0.9702896678,0.9795263047,0.6934176006,0.8392171429,0.9219570969,0.9064719299,0.9995801057,0.9504726749,0.9659147286,0.8603702573,0.9682700196,0.9815657635,0.9631949433,0.7646620414,0.8943190255,0.9542983766,0.9264250655,0.9997755672,0.9704283315,0.9791525236,0.9077864522,0.9694237292,0.9930178324,0.9768030379,0.9980010986,0.9923362732,0.9970071581,0.9950847626,0.9999877082,0.9943932427,0.997399648,0.9890087975,0.9921502219
