Name,F1_Thailand,F1_China,F1_Ghana,F1_Brazil,F1_Mexico,F1_Pakistan,F1_Egypt,F1_Cambodia,F1_India,F1_Bangladesh,F1_av_global,F1_SinakarinLake,F1_LopBuri,F1_KhonKaen,F1_Phichit,F1_NearPattaya,F1_BuriRam,F1_Ratchaprapha,F1_Phatthalung,F1_Tanintharyi,F1_av_TH
L8SR_S1A_sl_CC_ht,0.9916768877,0.9052863137,0.7898196661,0.9090460863,0.9763851275,0.916164585,0.9963736805,0.9814343164,0.9870209128,0.9036631236,0.9356870699,0.991277779,0.8958210101,0.9723998966,0.8578868995,0.9613937908,0.9596367857,0.9861546612,0.9702415791,0.9682391924,0.9540553698
L8SR_S1A_sl_CCDICE_ht,0.9916041268,0.7509438518,0.7540887734,0.9192731061,0.9776578738,0.9069281595,0.9950034483,0.9812730695,0.9861656993,0.89753676,0.9160474869,0.9920028198,0.8889927334,0.9728553766,0.8561705373,0.9625746365,0.9599531116,0.986507043,0.9687845025,0.9714703537,0.9538071783
