Name,StartTime,precision,recall,F1,cloud cover
L8SR_S1A_sl,2017-11-01,0.9574589487,0.9154697891,0.9335487429,48.57508343
L8SR_S1A_sl,2017-12-01,0.8487387255,0.8016697098,0.8223262296,58.35771227
L8SR_S1A_sl,2018-01-01,0.8684618758,0.8677090047,0.8680794341,95.19466073
L8SR_S1A_sl,2018-02-01,0.9714647871,0.9526767676,0.9614524603,44.37300704
L8SR_S1A_sl,2018-03-01,0.9785999916,0.9655176668,0.9718675755,25.89330738
L8SR_S1A_sl,2018-04-01,0.9732932803,0.9823604059,0.9777528613,29.30394883
L8SR_S1A_sl,2018-05-01,0.9805946965,0.9867316804,0.9836342177,22.72849462
L8SR_S1A_sl,2018-06-01,0.9829724528,0.9753471855,0.9791160146,6.827771598
L8SR_S1A_sl,2018-07-01,0.9766057778,0.9908326048,0.9835599633,19.56572117
L8SR_S1A_sl,2018-08-01,0.9682572494,0.9849649405,0.9761485354,59.35057471
L8SR_S1A_sl,2018-09-01,0.9532248624,0.9859912338,0.968943868,33.65266963
L8SR_S1A_sl,2018-10-01,0.9743070792,0.9779363779,0.9761066801,56.89182425
L8SR_S1A_sl,2018-11-01,0.5759888228,0.6877687924,0.6075608467,83.62263626
L8SR_S1A_sl,2018-12-01,0.9421763683,0.9064183266,0.9219524609,19.33685577
L8SR_S1A_sl,2019-01-01,0.9586927605,0.8962922097,0.9222571218,31.17834631
L8SR_S1A_sl,2019-02-01,0.9759493783,0.9652714738,0.9704252223,53.55218762
L8SR_S1A_sl3,2016-11-01,0.9347338336,0.9321410875,0.9334310053,27.80858361
L8SR_S1A_sl3,2016-12-01,0.9067573703,0.6912553542,0.7451272676,55.49323322
L8SR_S1A_sl3,2017-01-01,0.9050946317,0.9114315092,0.9082231308,52.84362254
L8SR_S1A_sl3,2017-02-01,0.9290619273,0.8413457957,0.875549787,37.71106785
L8SR_S1A_sl3,2017-03-01,0.9803175542,0.9340415025,0.9553418626,2.792918057
L8SR_S1A_sl3,2017-04-01,0.9679723965,0.9444178394,0.9554048953,24.01844642
L8SR_S1A_sl3,2017-05-01,0.90136316,0.9692254233,0.93093216,87.77669633
L8SR_S1A_sl3,2017-06-01,0.9333883014,0.918631414,0.9258681189,12.62384131
L8SR_S1A_sl3,2017-07-01,0.9017004109,0.9818940912,0.936667726,31.46607341
L8SR_S1A_sl3,2017-08-01,0.993855765,0.995953177,0.9948831714,74.45022247
L8SR_S1A_sl3,2017-09-01,0.7857573459,0.9677721789,0.8522377721,46.58954394
L8SR_S1A_sl3,2017-10-01,0.9039031148,0.9502061489,0.9256767893,26.11503522
L8SR_S1A_sl3,2017-11-01,0.9509455246,0.8998512161,0.9210681049,48.57508343
L8SR_S1A_sl3,2017-12-01,0.817735491,0.7269736472,0.7599093068,58.35771227
L8SR_S1A_sl3,2018-01-01,0.8718253559,0.8736426771,0.8726965179,95.19466073
L8SR_S1A_sl3,2018-02-01,0.969753394,0.9417931968,0.9544261522,44.37300704
L8SR_S1A_sl3,2018-03-01,0.9805019979,0.9683445089,0.9742588486,25.89330738
L8SR_S1A_sl3,2018-04-01,0.972491936,0.9748337498,0.9736578901,29.30394883
L8SR_S1A_sl3,2018-05-01,0.9757509949,0.9857338142,0.980665,22.72849462
L8SR_S1A_sl3,2018-06-01,0.9767105595,0.974206701,0.9754538499,6.827771598
L8SR_S1A_sl3,2018-07-01,0.9725608185,0.9905887811,0.9813170527,19.56572117
L8SR_S1A_sl3,2018-08-01,0.9628505672,0.9835270148,0.9724616758,59.35057471
L8SR_S1A_sl3,2018-09-01,0.9515362872,0.9870621377,0.9685174718,33.65266963
L8SR_S1A_sl3,2018-10-01,0.9663476258,0.9643290293,0.9653335844,56.89182425
L8SR_S1A_sl3,2018-11-01,0.5655273667,0.7236307225,0.6000268335,83.62263626
L8SR_S1A_sl3,2018-12-01,0.9254564922,0.8676142403,0.890364293,19.33685577
L8SR_S1A_sl3,2019-01-01,0.9524698108,0.886095993,0.9132730856,31.17834631
L8SR_S1A_sl3,2019-02-01,0.9710899902,0.9639858708,0.9674541857,53.55218762
ndwi,2016-11-01,0.9716120906,0.8601389898,0.9045072301,27.80858361
ndwi,2016-12-01,0.9427807957,0.8452687234,0.8850893336,55.49323322
ndwi,2017-01-01,0.9113960172,0.8090867452,0.8493242896,52.84362254
ndwi,2017-02-01,0.9428103106,0.7761025812,0.8256694323,37.71106785
ndwi,2017-03-01,0.9807811192,0.8989158723,0.9340042641,2.792918057
ndwi,2017-04-01,0.9687288268,0.9085814383,0.9337073796,24.01844642
ndwi,2017-05-01,0.9501921532,0.6954257163,0.7556219614,87.77669633
ndwi,2017-06-01,0.9868203637,0.7490748022,0.8263594747,12.62384131
ndwi,2017-07-01,0.98040887,0.8410557023,0.8956073494,31.46607341
ndwi,2017-08-01,0.9667389662,0.942354139,0.952255231,74.45022247
ndwi,2017-09-01,0.9913149119,0.8164380866,0.8837199687,46.58954394
ndwi,2017-10-01,0.9817801299,0.5953458018,0.6522488754,26.11503522
ndwi,2017-11-01,0.9693794417,0.9233401853,0.9429904992,48.57508343
ndwi,2017-12-01,0.9246260754,0.7304640684,0.7855178302,58.35771227
